# One Role Entry for: npc (Their Greatest Desire)
INDEX	Their Greatest Desire
1	They want a particular romantic partner
2	They want money for them or a loved one
3	They want a promotion in their job
4	They want answers about a past trauma
5	They want revenge on an enemy
6	They want to help a beleaguered friend
7	They want an entirely different job
8	They want protection from an enemy
9	They want to leave their current life
10	They want fame and glory
11	They want power over those around them
12	They have everything they want from life
