# One Role Entry for: patron (Complication to the Job)
INDEX	Complication to the Job
1	An ambush is laid somewhere
2	PC involvement is leaked to the enemy
3	The patron gives faulty aid somehow
4	Failing would be extremely unhealthy
5	The job IDs them as allies of a local faction
6	The macguffin is physically dangerous
7	An important location is hard to get into
8	Succeeding would be morally distasteful
9	A supposed ally is very unhelpful or stupid
10	The patron badly misunderstood the PCs
11	The job changes suddenly partway through
12	An unexpected troublemaker is involved
13	Critical gear will fail partway through
14	An unrelated accident complicates things
15	Payment comes in a hard-to-handle form
16	Someone is turning traitor on the patron
17	A critical element has suddenly moved
18	Payment is in avidly-pursued hot goods
19	The true goal is a subsidiary part of the job
20	No complications; it’s just as it seems to be
