# Master table of all planetary tags
1	Tag:\t{planetary-tag.abandoned-colony[tag]}\n\nDescription:\t{planetary-tag.abandoned-colony[description]}\n\nEnemies:\t{planetary-tag.abandoned-colony[enemies]}\n\nFriends:\t{planetary-tag.abandoned-colony[friends]}\n\nComplications:\t{planetary-tag.abandoned-colony[complications]}\n\nThings:\t{planetary-tag.abandoned-colony[things]}\n\nPlaces:\t{planetary-tag.abandoned-colony[places]}
2	Tag:\t{planetary-tag.alien-ruins[tag]}\n\nDescription:\t{planetary-tag.alien-ruins[description]}\n\nEnemies:\t{planetary-tag.alien-ruins[enemies]}\n\nFriends:\t{planetary-tag.alien-ruins[friends]}\n\nComplications:\t{planetary-tag.alien-ruins[complications]}\n\nThings:\t{planetary-tag.alien-ruins[things]}\n\nPlaces:\t{planetary-tag.alien-ruins[places]}
3	Tag:\t{planetary-tag.altered-humanity[tag]}\n\nDescription:\t{planetary-tag.altered-humanity[description]}\n\nEnemies:\t{planetary-tag.altered-humanity[enemies]}\n\nFriends:\t{planetary-tag.altered-humanity[friends]}\n\nComplications:\t{planetary-tag.altered-humanity[complications]}\n\nThings:\t{planetary-tag.altered-humanity[things]}\n\nPlaces:\t{planetary-tag.altered-humanity[places]}
4	Tag:\t{planetary-tag.anarchists[tag]}\n\nDescription:\t{planetary-tag.anarchists[description]}\n\nEnemies:\t{planetary-tag.anarchists[enemies]}\n\nFriends:\t{planetary-tag.anarchists[friends]}\n\nComplications:\t{planetary-tag.anarchists[complications]}\n\nThings:\t{planetary-tag.anarchists[things]}\n\nPlaces:\t{planetary-tag.anarchists[places]}
5	Tag:\t{planetary-tag.anthropomorphs[tag]}\n\nDescription:\t{planetary-tag.anthropomorphs[description]}\n\nEnemies:\t{planetary-tag.anthropomorphs[enemies]}\n\nFriends:\t{planetary-tag.anthropomorphs[friends]}\n\nComplications:\t{planetary-tag.anthropomorphs[complications]}\n\nThings:\t{planetary-tag.anthropomorphs[things]}\n\nPlaces:\t{planetary-tag.anthropomorphs[places]}
6	Tag:\t{planetary-tag.area-51[tag]}\n\nDescription:\t{planetary-tag.area-51[description]}\n\nEnemies:\t{planetary-tag.area-51[enemies]}\n\nFriends:\t{planetary-tag.area-51[friends]}\n\nComplications:\t{planetary-tag.area-51[complications]}\n\nThings:\t{planetary-tag.area-51[things]}\n\nPlaces:\t{planetary-tag.area-51[places]}
7	Tag:\t{planetary-tag.badlands-world[tag]}\n\nDescription:\t{planetary-tag.badlands-world[description]}\n\nEnemies:\t{planetary-tag.badlands-world[enemies]}\n\nFriends:\t{planetary-tag.badlands-world[friends]}\n\nComplications:\t{planetary-tag.badlands-world[complications]}\n\nThings:\t{planetary-tag.badlands-world[things]}\n\nPlaces:\t{planetary-tag.badlands-world[places]}
8	Tag:\t{planetary-tag.battleground[tag]}\n\nDescription:\t{planetary-tag.battleground[description]}\n\nEnemies:\t{planetary-tag.battleground[enemies]}\n\nFriends:\t{planetary-tag.battleground[friends]}\n\nComplications:\t{planetary-tag.battleground[complications]}\n\nThings:\t{planetary-tag.battleground[things]}\n\nPlaces:\t{planetary-tag.battleground[places]}
9	Tag:\t{planetary-tag.beastmasters[tag]}\n\nDescription:\t{planetary-tag.beastmasters[description]}\n\nEnemies:\t{planetary-tag.beastmasters[enemies]}\n\nFriends:\t{planetary-tag.beastmasters[friends]}\n\nComplications:\t{planetary-tag.beastmasters[complications]}\n\nThings:\t{planetary-tag.beastmasters[things]}\n\nPlaces:\t{planetary-tag.beastmasters[places]}
10	Tag:\t{planetary-tag.bubble-cities[tag]}\n\nDescription:\t{planetary-tag.bubble-cities[description]}\n\nEnemies:\t{planetary-tag.bubble-cities[enemies]}\n\nFriends:\t{planetary-tag.bubble-cities[friends]}\n\nComplications:\t{planetary-tag.bubble-cities[complications]}\n\nThings:\t{planetary-tag.bubble-cities[things]}\n\nPlaces:\t{planetary-tag.bubble-cities[places]}
11	Tag:\t{planetary-tag.cheap-life[tag]}\n\nDescription:\t{planetary-tag.cheap-life[description]}\n\nEnemies:\t{planetary-tag.cheap-life[enemies]}\n\nFriends:\t{planetary-tag.cheap-life[friends]}\n\nComplications:\t{planetary-tag.cheap-life[complications]}\n\nThings:\t{planetary-tag.cheap-life[things]}\n\nPlaces:\t{planetary-tag.cheap-life[places]}
12	Tag:\t{planetary-tag.civil-war[tag]}\n\nDescription:\t{planetary-tag.civil-war[description]}\n\nEnemies:\t{planetary-tag.civil-war[enemies]}\n\nFriends:\t{planetary-tag.civil-war[friends]}\n\nComplications:\t{planetary-tag.civil-war[complications]}\n\nThings:\t{planetary-tag.civil-war[things]}\n\nPlaces:\t{planetary-tag.civil-war[places]}
13	Tag:\t{planetary-tag.cold-war[tag]}\n\nDescription:\t{planetary-tag.cold-war[description]}\n\nEnemies:\t{planetary-tag.cold-war[enemies]}\n\nFriends:\t{planetary-tag.cold-war[friends]}\n\nComplications:\t{planetary-tag.cold-war[complications]}\n\nThings:\t{planetary-tag.cold-war[things]}\n\nPlaces:\t{planetary-tag.cold-war[places]}
14	Tag:\t{planetary-tag.colonized-population[tag]}\n\nDescription:\t{planetary-tag.colonized-population[description]}\n\nEnemies:\t{planetary-tag.colonized-population[enemies]}\n\nFriends:\t{planetary-tag.colonized-population[friends]}\n\nComplications:\t{planetary-tag.colonized-population[complications]}\n\nThings:\t{planetary-tag.colonized-population[things]}\n\nPlaces:\t{planetary-tag.colonized-population[places]}
15	Tag:\t{planetary-tag.cultural-power[tag]}\n\nDescription:\t{planetary-tag.cultural-power[description]}\n\nEnemies:\t{planetary-tag.cultural-power[enemies]}\n\nFriends:\t{planetary-tag.cultural-power[friends]}\n\nComplications:\t{planetary-tag.cultural-power[complications]}\n\nThings:\t{planetary-tag.cultural-power[things]}\n\nPlaces:\t{planetary-tag.cultural-power[places]}
16	Tag:\t{planetary-tag.cybercommunists[tag]}\n\nDescription:\t{planetary-tag.cybercommunists[description]}\n\nEnemies:\t{planetary-tag.cybercommunists[enemies]}\n\nFriends:\t{planetary-tag.cybercommunists[friends]}\n\nComplications:\t{planetary-tag.cybercommunists[complications]}\n\nThings:\t{planetary-tag.cybercommunists[things]}\n\nPlaces:\t{planetary-tag.cybercommunists[places]}
17	Tag:\t{planetary-tag.cyborgs[tag]}\n\nDescription:\t{planetary-tag.cyborgs[description]}\n\nEnemies:\t{planetary-tag.cyborgs[enemies]}\n\nFriends:\t{planetary-tag.cyborgs[friends]}\n\nComplications:\t{planetary-tag.cyborgs[complications]}\n\nThings:\t{planetary-tag.cyborgs[things]}\n\nPlaces:\t{planetary-tag.cyborgs[places]}
18	Tag:\t{planetary-tag.cyclical-doom[tag]}\n\nDescription:\t{planetary-tag.cyclical-doom[description]}\n\nEnemies:\t{planetary-tag.cyclical-doom[enemies]}\n\nFriends:\t{planetary-tag.cyclical-doom[friends]}\n\nComplications:\t{planetary-tag.cyclical-doom[complications]}\n\nThings:\t{planetary-tag.cyclical-doom[things]}\n\nPlaces:\t{planetary-tag.cyclical-doom[places]}
19	Tag:\t{planetary-tag.desert-world[tag]}\n\nDescription:\t{planetary-tag.desert-world[description]}\n\nEnemies:\t{planetary-tag.desert-world[enemies]}\n\nFriends:\t{planetary-tag.desert-world[friends]}\n\nComplications:\t{planetary-tag.desert-world[complications]}\n\nThings:\t{planetary-tag.desert-world[things]}\n\nPlaces:\t{planetary-tag.desert-world[places]}
20	Tag:\t{planetary-tag.doomed-world[tag]}\n\nDescription:\t{planetary-tag.doomed-world[description]}\n\nEnemies:\t{planetary-tag.doomed-world[enemies]}\n\nFriends:\t{planetary-tag.doomed-world[friends]}\n\nComplications:\t{planetary-tag.doomed-world[complications]}\n\nThings:\t{planetary-tag.doomed-world[things]}\n\nPlaces:\t{planetary-tag.doomed-world[places]}
21	Tag:\t{planetary-tag.dying-race[tag]}\n\nDescription:\t{planetary-tag.dying-race[description]}\n\nEnemies:\t{planetary-tag.dying-race[enemies]}\n\nFriends:\t{planetary-tag.dying-race[friends]}\n\nComplications:\t{planetary-tag.dying-race[complications]}\n\nThings:\t{planetary-tag.dying-race[things]}\n\nPlaces:\t{planetary-tag.dying-race[places]}
22	Tag:\t{planetary-tag.eugenic-cult[tag]}\n\nDescription:\t{planetary-tag.eugenic-cult[description]}\n\nEnemies:\t{planetary-tag.eugenic-cult[enemies]}\n\nFriends:\t{planetary-tag.eugenic-cult[friends]}\n\nComplications:\t{planetary-tag.eugenic-cult[complications]}\n\nThings:\t{planetary-tag.eugenic-cult[things]}\n\nPlaces:\t{planetary-tag.eugenic-cult[places]}
23	Tag:\t{planetary-tag.exchange-consulate[tag]}\n\nDescription:\t{planetary-tag.exchange-consulate[description]}\n\nEnemies:\t{planetary-tag.exchange-consulate[enemies]}\n\nFriends:\t{planetary-tag.exchange-consulate[friends]}\n\nComplications:\t{planetary-tag.exchange-consulate[complications]}\n\nThings:\t{planetary-tag.exchange-consulate[things]}\n\nPlaces:\t{planetary-tag.exchange-consulate[places]}
24	Tag:\t{planetary-tag.fallen-hegemon[tag]}\n\nDescription:\t{planetary-tag.fallen-hegemon[description]}\n\nEnemies:\t{planetary-tag.fallen-hegemon[enemies]}\n\nFriends:\t{planetary-tag.fallen-hegemon[friends]}\n\nComplications:\t{planetary-tag.fallen-hegemon[complications]}\n\nThings:\t{planetary-tag.fallen-hegemon[things]}\n\nPlaces:\t{planetary-tag.fallen-hegemon[places]}
25	Tag:\t{planetary-tag.feral-world[tag]}\n\nDescription:\t{planetary-tag.feral-world[description]}\n\nEnemies:\t{planetary-tag.feral-world[enemies]}\n\nFriends:\t{planetary-tag.feral-world[friends]}\n\nComplications:\t{planetary-tag.feral-world[complications]}\n\nThings:\t{planetary-tag.feral-world[things]}\n\nPlaces:\t{planetary-tag.feral-world[places]}
26	Tag:\t{planetary-tag.flying-cities[tag]}\n\nDescription:\t{planetary-tag.flying-cities[description]}\n\nEnemies:\t{planetary-tag.flying-cities[enemies]}\n\nFriends:\t{planetary-tag.flying-cities[friends]}\n\nComplications:\t{planetary-tag.flying-cities[complications]}\n\nThings:\t{planetary-tag.flying-cities[things]}\n\nPlaces:\t{planetary-tag.flying-cities[places]}
