# One Role Entry for: urban-encounter (Relevant Urban Features)
INDEX	Relevant Urban Features
1	Heavy traffic running through the place
2	Music blaring at deafening volumes
3	Two groups present that detest each other
4	Large delivery taking place right there
5	Swarm of schoolkids or feral youth
6	Insistent soapbox preacher here
7	Several pickpockets working the crowd
8	A kiosk is tipping over and spilling things
9	Streetlights are out or visibility is low
10	A cop patrol is here and reluctant to act
11	PC-hostile reporters are recording here
12	Someone’s trying to sell something to PCs
13	Feral dogs or other animals crowd here
14	Unrelated activists are protesting here
15	Street kids are trying to steal from the PCs
16	GPS maps are dangerously wrong here
17	Downed power lines are a danger here
18	Numerous open manholes and utility holes
19	The street’s blockaded by something
20	Crowds so thick one can barely move
