# One Role Entry for: urban-encounter (What Antagonists are Involved?)
INDEX	What Antagonists are Involved?
1	A local bully and their thugs
2	A ruthless political boss and their zealots
3	Violent criminals
4	Religious fanatics
5	A blisteringly obnoxious offworlder
6	Corrupt or over-strict government official
7	A mob of intoxicated locals
8	A ranting demagogue and their followers
9	A stupidly bull-headed local grandee
10	A very capable assassin or strong-arm
11	A self-centered local scion of power
12	A confused foreigner or backwoodsman
