# One Role Entry for: wilderness-encounter (Types of Hostile Creatures)
INDEX	Types of Hostile Creatures
1	Bandits in their wilderness hideout
2	Dangerous locals looking for easy marks
3	Rabid or diseased large predator
4	Pack of hungry hunting beasts
5	Herd of potentially dangerous prey animals
6	Swarm of dangerous vermin
7	Criminal seeking to evade the law
8	Brutal local landowner and their men
9	Crazed hermit seeking enforced solitude
10	Friendly-seeming guide into lethal danger
11	Harmless-looking but dangerous beast
12	Confidence man seeking to gull the PCs
